11200000,19,1
11200000,8,13
11200000,2,34
11200000,1,28
11200000,4,1
11200000,5,24
11200000,3,1
11200000,22,1
11200000,16,1
11200000,14,1
11200000,21,1
11200000,18,1
11200000,23,1
11200000,9,1
11200000,12,1
11200000,24,1
11200000,7,1
11200000,13,1
11200000,10,1
11200000,17,1
11200000,15,1
11201000,1,28
11201000,5,26
11201000,8,14
11201000,2,35
11201000,22,1
11201000,9,1
11201000,18,1
11201000,19,1
11201000,15,1
11201000,23,1
11201000,21,1
11201000,7,1
11201000,3,1
11201000,13,1
11201000,10,1
11201000,16,1
11201000,14,1
11201000,12,1
11201000,24,1
11202000,19,1
11202000,8,15
11202000,2,36
11202000,1,29
11202000,15,1
11202000,22,1
11202000,5,26
11202000,16,1
11202000,7,1
11202000,23,1
11202000,14,1
11202000,9,1
11202000,21,1
11202000,24,1
11202000,18,1
11202000,10,1
11203000,5,29
11203000,1,28
11203000,23,1
11203000,8,17
11203000,2,33
11203000,19,1
11203000,15,1
11203000,9,1
11203000,18,1
11203000,7,1
11203000,22,1
11203000,14,1
11203000,10,1
11203000,24,1
11204000,1,31
11204000,8,20
11204000,5,30
11204000,2,35
11204000,15,1
11204000,22,1
11204000,9,1
11204000,14,1
11204000,7,1
11204000,19,1
11205000,19,1
11205000,8,23
11205000,5,34
11205000,2,34
11205000,1,32
11205000,7,1
11205000,15,1
11206000,1,33
11206000,8,23
11206000,2,35
11206000,5,37
11206000,19,1
11206000,7,1
11207000,2,35
11207000,5,39
11207000,1,32
11207000,8,24
11207000,19,1
11208000,2,35
11208000,1,32
11208000,5,39
11208000,8,23
11208000,19,1
11209000,1,36
11209000,8,22
11209000,2,35
11209000,5,41
11210000,2,40
11210000,5,42
11210000,8,21
11210000,1,37
11211000,1,39
11211000,5,40
11211000,8,23
11211000,2,42
11212000,1,41
11212000,5,40
11212000,2,43
11212000,8,22
11213000,1,42
11213000,5,41
11213000,8,23
11213000,2,44
11214000,1,41
11214000,8,23
11214000,5,42
11214000,2,43
11215000,2,43
11215000,1,41
11215000,8,26
11215000,5,42
11216000,2,43
11216000,1,43
11216000,5,43
11216000,8,26
11217000,1,43
11217000,5,42
11217000,8,27
11217000,2,44
11218000,5,44
11218000,8,26
11218000,2,45
11218000,1,44
11219000,5,43
11219000,8,26
11219000,1,42
11219000,2,44
11220000,5,46
11220000,1,42
11220000,8,27
