0	150	150	150	150	150	150	150	150
1000	147	147	148	146	145	147	148	145
2000	142	142	143	136	142	144	143	143
3000	138	139	137	132	139	140	142	141
4000	137	139	133	128	136	137	141	138
5000	160	162	146	145	153	159	166	161
6000	158	156	145	140	148	154	156	156
7000	155	154	144	136	145	150	156	151
8000	152	152	141	136	145	144	155	146
9000	143	146	141	135	139	140	155	144
10000	143	144	156	163	149	133	153	141
11000	185	180	171	173	178	166	167	176
12000	185	180	164	166	172	164	182	172
13000	178	174	159	166	172	161	175	169
14000	173	173	157	164	170	158	174	168
15000	169	168	166	173	177	160	169	167
16000	181	177	166	168	170	154	173	172
17000	176	165	162	166	164	151	167	167
18000	176	161	160	161	163	147	167	164
19000	175	158	158	167	161	157	162	162
20000	184	171	167	183	176	172	157	170
21000	193	186	163	187	188	169	170	185
22000	206	185	160	180	184	165	179	186
23000	203	182	171	176	181	166	180	183
24000	199	178	171	184	188	165	167	183
25000	197	185	164	185	192	157	168	191
26000	207	189	164	181	189	151	170	192
27000	201	185	161	181	187	147	168	192
28000	200	181	171	177	185	158	166	189
29000	197	172	182	164	182	166	165	184
30000	193	176	180	186	186	165	158	180
31000	189	197	180	190	211	160	176	184
32000	194	197	175	186	212	160	186	210
33000	211	191	186	183	207	160	187	213
34000	214	183	184	180	205	161	184	212
35000	211	189	179	190	201	158	182	207
