0	50.000000	50.000000	50.000000	50.000000	50.000000	50.000000	50.000000	50.000000
1000	50.000000	50.000000	49.000000	48.000000	48.000000	49.000000	49.000000	48.000000
2000	49.000000	48.000000	47.000000	44.000000	47.000000	48.000000	48.000000	47.000000
3000	47.000000	47.000000	44.000000	43.000000	46.000000	47.000000	48.000000	46.000000
4000	47.000000	47.000000	42.000000	43.000000	45.000000	46.000000	48.000000	45.000000
5000	47.000000	47.000000	38.000000	41.000000	43.000000	46.000000	48.000000	44.000000
6000	46.000000	45.000000	38.000000	40.000000	41.000000	44.000000	45.000000	43.000000
7000	46.000000	45.000000	38.000000	39.000000	40.000000	44.000000	45.000000	41.000000
8000	45.000000	45.000000	38.000000	39.000000	40.000000	42.000000	45.000000	40.000000
9000	42.000000	44.000000	38.000000	39.000000	38.000000	40.000000	45.000000	40.000000
10000	42.000000	44.000000	37.000000	39.000000	38.000000	38.000000	44.000000	39.000000
11000	42.000000	43.000000	35.000000	38.000000	38.000000	37.000000	41.000000	38.000000
12000	42.000000	40.000000	32.000000	36.000000	36.000000	36.000000	40.000000	37.000000
13000	39.000000	39.000000	31.000000	36.000000	36.000000	36.000000	39.000000	37.000000
14000	37.000000	39.000000	31.000000	35.000000	36.000000	35.000000	39.000000	37.000000
15000	36.000000	37.000000	31.000000	35.000000	36.000000	33.000000	38.000000	37.000000
16000	36.000000	36.000000	31.000000	34.000000	35.000000	31.000000	38.000000	36.000000
17000	35.000000	32.000000	30.000000	34.000000	35.000000	30.000000	36.000000	34.000000
18000	35.000000	32.000000	29.000000	33.000000	35.000000	29.000000	36.000000	33.000000
19000	35.000000	32.000000	37.000000	45.000000	37.000000	41.000000	35.000000	33.000000
20000	44.000000	46.000000	35.000000	47.000000	46.000000	41.000000	35.000000	44.000000
21000	53.000000	44.000000	35.000000	47.000000	46.000000	41.000000	51.000000	46.000000
22000	51.000000	43.000000	35.000000	46.000000	45.000000	39.000000	49.000000	46.000000
23000	50.000000	43.000000	35.000000	44.000000	44.000000	38.000000	49.000000	46.000000
24000	49.000000	42.000000	34.000000	42.000000	43.000000	37.000000	44.000000	46.000000
25000	49.000000	41.000000	34.000000	42.000000	42.000000	36.000000	44.000000	46.000000
26000	48.000000	40.000000	34.000000	42.000000	42.000000	35.000000	42.000000	43.000000
27000	44.000000	40.000000	33.000000	42.000000	41.000000	34.000000	41.000000	42.000000
28000	44.000000	38.000000	34.000000	41.000000	40.000000	35.000000	41.000000	41.000000
29000	44.000000	37.000000	38.000000	37.000000	40.000000	38.000000	41.000000	40.000000
30000	43.000000	37.000000	37.000000	41.000000	39.000000	37.000000	39.000000	40.000000
31000	43.000000	39.000000	37.000000	42.000000	45.000000	37.000000	41.000000	40.000000
32000	42.000000	38.000000	35.000000	42.000000	44.000000	37.000000	44.000000	44.000000
33000	42.000000	37.000000	34.000000	42.000000	44.000000	36.000000	44.000000	44.000000
34000	41.000000	36.000000	34.000000	41.000000	44.000000	36.000000	44.000000	44.000000
35000	41.000000	36.000000	33.000000	40.000000	43.000000	36.000000	43.000000	42.000000
